geo_code,age_band,sex,population
1111057000,10-14,F,238
1111057000,15-19,M,191
1111057000,15-19,F,262
1111057000,20-24,M,173
1111057000,20-24,F,205
1111057000,25-29,M,169
1111057000,25-29,F,206
1111057000,30-34,M,182
1111057000,30-34,F,224
1111057000,35-39,M,173
1111057000,35-39,F,222
1111057000,40-44,M,291
1111057000,40-44,F,292
1111057000,45-49,M,280
1111057000,45-49,F,347
1111057000,50-54,M,348
1111057000,50-54,F,353
1111057000,55-59,M,356
1111057000,55-59,F,320
1111057000,60-64,M,264
1111057000,60-64,F,302
1111057000,65-69,M,248
1111057000,65-69,F,293
1111057000,70-74,M,175
1111057000,70-74,F,219
1111057000,75-79,M,114
1111057000,75-79,F,168
1111057000,80-84,M,87
1111057000,80-84,F,136
1111057000,85-89,M,59
1111057000,85-89,F,98
1111057000,90-94,M,23
1111057000,90-94,F,32
1111057000,95-99,M,2
1111057000,95-99,F,7
1111057000,100+,M,0
1111057000,100+,F,0
1111058000,0-4,M,128
1111058000,0-4,F,143
1111058000,5-9,M,164
1111058000,5-9,F,187
1111058000,10-14,M,162
1111058000,10-14,F,187
1111058000,15-19,M,169
1111058000,15-19,F,206
1111058000,20-24,M,194
1111058000,20-24,F,217
1111058000,25-29,M,277
1111058000,25-29,F,330
1111058000,30-34,M,313
1111058000,30-34,F,401
1111058000,35-39,M,324
1111058000,35-39,F,394
1111058000,40-44,M,355
1111058000,40-44,F,431
1111058000,45-49,M,373
1111058000,45-49,F,436
1111058000,50-54,M,399
1111058000,50-54,F,456
1111058000,55-59,M,387
1111058000,55-59,F,426
1111058000,60-64,M,284
1111058000,60-64,F,287
1111058000,65-69,M,249
1111058000,65-69,F,365
1111058000,70-74,M,202
1111058000,70-74,F,244
1111058000,75-79,M,133
1111058000,75-79,F,212
1111058000,80-84,M,91
1111058000,80-84,F,143
1111058000,85-89,M,62
1111058000,85-89,F,91
1111058000,90-94,M,16
1111058000,90-94,F,31
1111058000,95-99,M,3
1111058000,95-99,F,9
1111058000,100+,M,0
1111058000,100+,F,0
1111060000,0-4,M,32
1111060000,0-4,F,19
1111060000,5-9,M,51
1111060000,5-9,F,25
1111060000,10-14,M,58
1111060000,10-14,F,59
1111060000,15-19,M,76
1111060000,15-19,F,67
1111060000,20-24,M,56
1111060000,20-24,F,69
1111060000,25-29,M,93
1111060000,25-29,F,101
1111060000,30-34,M,128
1111060000,30-34,F,146
1111060000,35-39,M,110
1111060000,35-39,F,111
1111060000,40-44,M,106
1111060000,40-44,F,136
1111060000,45-49,M,137
1111060000,45-49,F,144
